A Natural Scene which is more specifically Buildings, no human, no face visible, three objects, many colors, high motion
A Natural Scene which is more specifically Buildings, no human, no face visible, three objects, with dominant color gray, high motion
A Natural Scene which is more specifically Buildings, no human, no face visible, three objects, many colors, high motion
A Natural Scene which is more specifically Buildings, no human, no face visible, three objects, many colors, high motion
A Natural Scene which is more specifically Buildings, no human, no face visible, three objects, many colors, high motion
A Natural Scene which is more specifically Beach, human present, no face visible, single object, many colors, low motion
A Natural Scene which is more specifically Beach, no human, no face visible, single object, many colors, low motion
A Natural Scene which is more specifically Beach, no human, no face visible, single object, many colors, low motion
A Natural Scene which is more specifically Beach, no human, no face visible, single object, many colors, low motion
A Natural Scene which is more specifically Beach, no human, no face visible, single object, many colors, high motion
A Water Animal which is more specifically Jellyfish, no human, no face visible, single object, many colors, low motion
A Water Animal which is more specifically Jellyfish, no human, no face visible, single object, with dominant color blue, high motion
A Water Animal which is more specifically Jellyfish, no human, no face visible, single object, with dominant color blue, low motion
A Water Animal which is more specifically Jellyfish, no human, no face visible, single object, with dominant color yellow, low motion
A Water Animal which is more specifically Jellyfish, no human, no face visible, single object, with dominant color blue, low motion
A Land Animal which is more specifically Rabbit, no human, no face visible, single object, many colors, high motion
A Land Animal which is more specifically Panda, no human, no face visible, single object, with dominant color yellow, low motion
A Land Animal which is more specifically Rabbit, no human, no face visible, single object, many colors, high motion
A Land Animal which is more specifically Rabbit, no human, no face visible, single object, many colors, low motion
A Land Animal which is more specifically Rabbit, no human, no face visible, three objects, many colors, low motion
A Exercise which is more specifically Skiing, human present, no face visible, single object, with dominant color white, high motion
A Exercise which is more specifically Skiing, human present, no face visible, single object, with dominant color white, high motion
A Exercise which is more specifically Skiing, human present, no face visible, single object, with dominant color white, low motion
A Exercise which is more specifically Skiing, human present, no face visible, single object, with dominant color white, low motion
A Exercise which is more specifically Skiing, human present, no face visible, two objects, with dominant color white, high motion
A Plant which is more specifically Tree, no human, no face visible, three objects, with dominant color green, high motion
A Plant which is more specifically Tree, no human, no face visible, three objects, with dominant color green, high motion
A Plant which is more specifically Tree, no human, no face visible, three objects, with dominant color green, low motion
A Plant which is more specifically Tree, no human, no face visible, three objects, with dominant color green, high motion
A Plant which is more specifically Tree, no human, no face visible, three objects, with dominant color green, high motion
A Land Animal which is more specifically Panda, no human, no face visible, single object, many colors, high motion
A Land Animal which is more specifically Panda, no human, no face visible, single object, many colors, high motion
A Land Animal which is more specifically Panda, no human, no face visible, single object, many colors, low motion
A Land Animal which is more specifically Panda, no human, no face visible, single object, many colors, high motion
A Land Animal which is more specifically Panda, no human, no face visible, single object, many colors, high motion
A Transportation which is more specifically Bike, human present, no face visible, two objects, many colors, high motion
A Transportation which is more specifically Bike, human present, no face visible, single object, many colors, high motion
A Transportation which is more specifically Bike, human present, no face visible, single object, many colors, high motion
A Transportation which is more specifically Bike, human present, no face visible, single object, many colors, high motion
A Transportation which is more specifically Bike, human present, no face visible, three objects, many colors, high motion
A Natural Scene which is more specifically Road, no human, no face visible, single object, many colors, high motion
A Natural Scene which is more specifically Road, no human, no face visible, single object, many colors, high motion
A Natural Scene which is more specifically Road, no human, no face visible, single object, many colors, high motion
A Natural Scene which is more specifically Road, no human, no face visible, single object, many colors, low motion
A Natural Scene which is more specifically Road, no human, no face visible, single object, many colors, low motion
A Human which is more specifically Face, human present, face visible, single object, many colors, low motion
A Human which is more specifically Face, human present, face visible, single object, many colors, low motion
A Human which is more specifically Face, human present, face visible, single object, many colors, low motion
